str_no_string|,
str_not_happy|memnuniyetsiz
str_miserable|dehşete düşmüş
str_morale_reg1| Moral: {reg1}
str_bar_enthusiastic|                   Hevesli
str_bar_content|              İdare eder
str_bar_weary|          Argın
str_bar_disgruntled|     Sıkkın
str_bar_miserable|  Bedbaht
str_here_plus_space|burada 
str_npc1_intro|Selam size, yolcu. Pazara bir iz sürücü bulmak için çıkmış olamazsınız, değil mi?
str_npc2_intro|Merhaba. Benimle bir kadeh içme nezaketini gösterebilir misin? Son beş dinarım ve onu da yalnız içmek istemiyorum.
str_npc3_intro|İyi günler!
str_npc4_intro|Merhabalar, ben kadim ve muazzam Rolf Evi'nden, Rolf'un oğlu Rolf.
str_npc5_intro|Merhabalar seyyah. İçki içerken bana katılır mısınız?
str_npc6_intro|Kayboldum.. kayboldum...
str_npc7_intro|Evet? Bu arada, mesafenizi koruyun.
str_npc8_intro|Ne istiyorsunuz?
str_npc9_intro|Siz, oradaki, {bayım/hanımefendi}, bana bir içki daha getirebilir misiniz acaba?
str_npc10_intro|Selamlar olsun, kardeşim! Tüm asil doğan lord ve hanımların düşüşüne ve akıbetine içelim!
str_npc11_intro|Merhabalar, çocuğum. Bu içkiniz benden olsun.
str_npc12_intro|Merhabalar, yolcu dostum. Belki bana yardım edebilirsiniz.
str_npc13_intro|Selamlar, yolcu. Ben Nizar. Adımı kesin duymuşsunuzdur.
str_npc14_intro|Evet, ne vardı?
str_npc15_intro|Oh! Söylesenize, dostum, yakın zamanda şehir dışına çıkmayı düşünüyor olabilir misiniz?
str_npc16_intro|Selam olsun. Sana bakınca yakın bir zamanda kavgaya girmeyi düşündüğünü fark ettim. Peki, yardım arıyor musunuz?
str_npc1_intro_response_1|Belki, bu acele niye?
str_npc2_intro_response_1|Son beş dinarınız mı? Size ne oldu?
str_npc3_intro_response_1|Merhaba. Sizin gibi iyi yetiştirildiği belli genç bir bayan böyle bir yerde ne yapıyor?
str_npc4_intro_response_1|Hımm, Bu Rolf evini hiç duymamıştım.
str_npc5_intro_response_1|Pek tabi. Kiminle içme şerefine erişiyorum?
str_npc6_intro_response_1|Nedir bu kasvet dostum?
str_npc7_intro_response_1|Affedersiniz. Sadece şansınızın pek yaver gitmemiş gibi göründüğünü söyleyecektim.
str_npc8_intro_response_1|Sadece biraz zaman öldürmeyi, hanımefendi, eğer başka işiniz yoksa.
str_npc9_intro_response_1|Beni hancıyla karıştırmış olmalısınız, efendim.
str_npc10_intro_response_1|Niçin böyle diyorsunuz, efendim?
str_npc11_intro_response_1|Neye içiyoruz?
str_npc12_intro_response_1|Nasıl olacakmış?
str_npc13_intro_response_1|Hımm.. Sanmıyorum.
str_npc14_intro_response_1|Sadece dost bir yolcuyla vakit geçirmek istiyordum, hepsi bu.
str_npc15_intro_response_1|Olabilir, niçin merak ettiğinizi sorabilir miyim?
str_npc16_intro_response_1|Olabilir, sizin hikayeniz nedir?
str_npc1_intro_response_2|Uzak durun, efendim, ve elinizi cüzdanımdan uzak tutun.
str_npc2_intro_response_2|Yapacak daha iyi şeylerim var.
str_npc3_intro_response_2|Haydi kızım, yapacak işlerim var.
str_npc4_intro_response_2|Ha? Hayır, teşekkürler, istemiyoruz.
str_npc5_intro_response_2|Bunun için vaktim yok.
str_npc6_intro_response_2|Şüphesiz. Eh, size iyi şanslar.
str_npc7_intro_response_2|Peki, sizi daha fazla rahatsız etmeyeyim.
str_npc8_intro_response_2|Nezaket kurallarından bu kadar uzak birinden.. hiçbir şey istemiyorum. İyi günler.
str_npc9_intro_response_2|Git kendin al!
str_npc10_intro_response_2|Asi muhabbetine giriyorsun, hiç işim olmaz. İyi günler.
str_npc11_intro_response_2|Sanmıyorum, madam.
str_npc12_intro_response_2|Üzgünüm, ama korkarım ki şimdilik meşgulüm
str_npc13_intro_response_2|Hayır, ve üzgünüm ama tanışmayı istediğimi de sanmıyorum.
str_npc14_intro_response_2|Hiç, affedersiniz.
str_npc15_intro_response_2|Kendi işinize bakma lütfunu gösterirseniz sevinirim, efendim.
str_npc16_intro_response_2|Kendi işine bak, kızım.
str_npc1_backstory_a|Şey, {efendim/hanımefendi}, bu uzun bir hikaye...
str_npc2_backstory_a|Bu trajik bir hikaye, efendim.
str_npc3_backstory_a|İyi bir soru ve cevabını vereceğim!
str_npc4_backstory_a|Gerçekten mi? Belki cehaletiniz affedilebilir. Atalarımızın toprakları, çok, çok uzakta, dağların ardındadır.
str_npc5_backstory_a|Ben Badzan'ın torunu, Azabei'nin oğlu Bahestur. Eğer barbarın teki olmasaydınız, atalarımın isimlerinden; dağlıklardan gelme, Shamir kabilesinden, Dulam klanından, Ubayn ailesinden, Pantash vadisinden bir Roan At Kergiti olduğumu anlayabilir ve vatanımdan neden bu kadar uzak olduğumu tahmin edebilirdiniz.
str_npc6_backstory_a|Günahların en büyüğünü işledim {bayım/bayan}, ve utanarak sizle günah çıkartmalıyım, eğer dinlemek isterseniz.
str_npc7_backstory_a|Şansım mı? Öyle de denebilir.
str_npc8_backstory_a|Haa. Eh, bilmeniz gerekiyorsa, anlatayım.
str_npc9_backstory_a|Naçizane özürlerimi kabul edin. Bazen buradaki kasvet ve dumandan insanları tanımak zor olabiliyor. Hala böyle bir yerde yaşamam gerekeceğine inanamıyorum.
str_npc10_backstory_a|Uzun hikaye, ama kendinize bir içki alırsanız seve seve anlatırım.
str_npc11_backstory_a|Arabamı ve kap kacağı satabildim sonunda, {delikanlı/genç hanım}. İlk defa harcayacak param var ve bunu en akıllı şekilde yapmak istiyorum.
str_npc12_backstory_a|Anlatayım – ama dikkatli olun, bu hikaye korkunç bir haksızlığın hikayesi. Ancak sizi uyarmalıyım, asabi bir mizacınız varsa bu hikayeyi dinleyerek kendinize bir kötülük yapıyor da olabilirsiniz.
str_npc13_backstory_a|Duymadınız mı? Belki de Kalradya ovalarını bir ay ışığı gibi kesen aygırımın namını işitmişsinizdir? Ya da diyarın en yüce prenslerinin kana doyurduğu işinin erbabı kılıcımı.
str_npc14_backstory_a|Neyse, çok da önemli değil. Adım Lazalet.
str_npc15_backstory_a|Ben tahkimat inşası üzerine uzmanlaşmış bir mühendisim. Bir duvarın yıkılması gerekiyorsa, yeterli zaman olduğu takdirde bunu yapabilirim. Eğer bir duvar tekrar inşa edilecekse bunu da yapabilirim ama tabi bu daha uzun zaman alır ve daha maliyetli olur. Maliyetten de kaçamazsınız, yoksa yapı dipten çöküverir, aynı buralarda birinin yakın zamanda tecrübe ettiği gibi.
str_npc16_backstory_a|Evet, {beyim/hanımım}, kendimi bildim bileli hoş ve güzel şeylere yönelik bir zaafım vardı, ve bu zayıflık, sizin de görebileceğiniz üzere, beni pek çok belaya soktu.
str_npc1_backstory_b|{s19} {s20}de hanın dışında bağlı bulduğum bir atla ilgili bir yanlış anlaşılma yaşadım. Geçen gün hanın hemen önünde bağlı şekilde duran, beni fırlatıp kaçan atın tıpatıp aynı olan bir at gördüm. Tabi ben de onu daha yakından inceleyebilmek için çözdüm. Sonradan ortaya çıktı ki bu at oradaki bir tüccarın atıymış. O tüccar da sonradan öyle bir inatçı keçi çıktı ki, ne kadar yanlış anlaşma oldu diye ısrar ettiysem de dinlemedi ve beni oracıkta askerlere şikayet ediverdi.
str_npc2_backstory_b|Bir süre önce bir kervan yükü malla Geroia'dan ayrıldım. Sargoth'a gidip orada satıp büyük bir kazanç sağlamayı düşünmüştüm. Fakat öyle olmadı işte... yolda Kergit talancılarının saldırısına uğradık ve mallarımızla atlarımızın çoğunu kaybettik. İki gün sonra da kervanı korumakla görevli adamlarım elde kalan ne varsa çalarak kaçtılar.
str_npc3_backstory_b|Babam, {s20}ndaki {s19}nde çok tanınan bir tüccar olarak, iş ortaklarından 30 yaşını çoktan geçmiş olan biriyle evlenmemin uygun olacağına kanaat getirdi. Hayatım boyunca söylenenlere uyan ve yerine getiren bir kız oldum ama bu korkunç teklif artık çok fazla olmuştu. Ben de kaçtım...
str_npc4_backstory_b|Ailemdeki pek çok erkek gibi, ben de eve dönüp toprakların kontrolünü almadan önce kılıç ustalığım sayesinde geldiğim bu ırak diyarda ismimi duyurmak istiyordum. Ne yazık ki bu topraklardaki yöneticiler savaşçının yolunu anlayamamışlar ki beni bir haydut veya çapulcu addettiler, hatta kellem için ödül bile koydular. Şüphesiz siz de katılıyorsunuzdur ki bu iftira bir beyefendiye yapılabilecek en ağır hakaretlerden biridir!
str_npc5_backstory_b|Kendimizi bildik bileli komşu vadide yerleşmiş olan Humyan ile bir kavga içerisindeyiz. Bu kan davasında benim iki öz kardeşim de dahil iki taraf da pek çok zayiat verdi. Kağanımız Kalradya'daki diğer savaşlar için insan gücünü azaltmamamız adına bizlere ateşkes ilan etmemizi buyurdu. Ancak ben hakkımı arayacağım, kardeşlerimin kanı yerde kalmayacak. Dağlarda bir Humyan takip ettim ve onu öldürdüm, Gecenin karanlığında babama veda bile edemeden köyümden ayrıldım. Bir iki sene Kalradya'da zaman geçirip kağanın adamları bu olayı unuttuklarında köyüme geri döneceğim. Ancak Humyanlar unutmayacak, şerefin bedeli de böyle bir şey işte.
str_npc6_backstory_b|{s20} lordu {s19} hizmeti altında seyislik yapıyordum, kardeşim de benim yanımda hizmet ediyordu. Ancak ikimiz de aynı kadına abayı yaktık, fahişenin birine – bir baştan çıkarıcı, bizim kıskançlıklarımızı kaşımıştı! Kardeşim ve ben bir kavgaya tutuştuk. Çok içmiştim. O bana eldiveniyle bir tokat attı, ben de onu kılıcımla deştim... Kendi kardeşimi! Kılıcım kendi kanımdan olan birinin kanıyla lekelenmişti.
str_npc7_backstory_b|Babamın beni sürekli döven bir adamla evlendirmesi, benim kara bahtımdı. Kocamdan kaçıp bir grup çapulcunun eline düşmem, şanssızlıktı. Aralarından bana karşı iyi olan ve bana dövüşmeyi ve avlanmayı öğreteni de kıskandıkları için bıçaklamaları da kör talihtendi. Onun için ben de kaçtım, tekrar tekrar...
str_npc8_backstory_b|Kuzey illerinin meşhur bir soyundan geliyorum, bir derebeyinin kızı, bir diğerinin de eşiyim. Kocamın yanında çarpışarak savaşta ve barışta onun eşi oldum. Ancak ben daha anne olamamışken, kocam vebadan öldü. Kocam bir varisin yokluğunda topraklarının yönetiminin bana geçeceğini açıklamıştı. Ancak kayınbiraderim, adı batasıca, bir derebeyliğinin başına bir kadının geçmesinin imkansız olduğunu iddia ediyordu. Bu saçmalıktı, ama altınları kocamın nankör hizmetkarlarının bağlılığını satın almaya ve kendisini de tahtın üzerine kurmaya yetti. Böylece ben kaçtım, bana ömrüm boyunca öğretilenin tersine ve bir daha asla yapmamak üzere, kaçtım.
str_npc9_backstory_b|Ben babamın oğlu ve varisiyim. Ama annem ölünce babam tekrar evlendi. Yeni karısı oğlunun da yanında gelmesini istedi. Bana karşı açıkça harekete geçemiyordu, ama bir gün bana hazırladığı bir yemeği av köpeklerimden birine yedirdim ve hayvan can çekişerek öldü. Ben üvey annemi suçluyordum, ancak babam o cadının etkisinde kaldığından bana inanmadı ve hemen oradan ayrılmamı emretti.
str_npc10_backstory_b|{s19}ndeki {s20} garnizonunda çavuştum. Yirmi yıl boyunca şehri korudum. Bir sürü çetin cevize araba yüküyle dayak attım. Ta ki asık, ağlamış suratlı ana kuzusu bir herif komutan diye tepeme dikilene kadar. O gün kulede nöbet tutarken yine üzerime geldi. Kundaklı yayımı gergin tutmuyormuşum. Tabii tutmuyordum, yağmur yüzünden. Yoksa ipin gevşer! Ama bu sümüklü prens bana kafayı takmıştı bir kere. Beni kırbaçlatacağını söyledi. İşte o anda tepem attı. Nöbet yerimi terk ettim.
str_npc11_backstory_b|30 yıl boyunca diyarın ordularının peşinde koştum, içkiler sattım, barbut oyunları organize ettim, onlara güzel hanımlar buldum ve en sonunda cebimde kuruş kalmadı.
str_npc12_backstory_b|Ben aslında bir doğa filozofum, üniversitemdeki doktorların kalın kafalığı yüzünden gezici cerrah olarak hayatımı kazanıyorum. Bu şehirden bir tüccar beni balkondan düşüp komaya giren oğluna şifa verebilmem için tuttu. Şişliği rahatlatması adına başarılı bir şekilde çocuğun kafatasında bir delik açtım, ancak aile sonrasında ateşin düşürülmesi için gerekli olduğunu söylediğim şeyleri yapmadı ve çocuk öldü. Baba, çabalarımı ödüllendirmek yerine beni büyücülükle suçladı. Beni! Bir doğa filozofunu! İşte insanın cehaleti ve nankörlüğü böyle bir şey!
str_npc13_backstory_b|Benim asıl mesleğim tabii ki savaşçılık. Ama belki benim en donuk bir bakirenin bile başını döndürecek şairlik kabiliyetlerimi de duymuşsundur. Ya da yatak odası sanatlarındaki gücümü. İtiraf etmeliyim ki Kalradya'ya karşı açık bir zaafım var. Son birkaç yıldır köylerini, kasabalarını, kalelerini ve şehirlerini gezerek bu saydığım güçlerimi uygulama fırsatı buluyorum.
str_npc14_backstory_b|Ben Kont Geroia'nın ikinci oğluyum. Şüphesiz hakkında çok şey duymuşsunuzdur. Bana kalan hiç bir miras olmadığından, Kalradya'ya erkekleri savaş sanatı üzerine eğitmeye ve kılıcımla hayatımı kazanmaya geldim. Maalesef ki {s20} Lordu, ayak takımını gerçek askerlere dönüştürecek olan bu uzmanlık eğitimini tam olarak kavrayamadı. Ona, eğer şimdi köteği basmazsak daha sonra cenazelerini kaldıracağımızı söyledim. Fakat sözümü daha fazla dinlenmedi ve gitmemi söyledi.
str_npc15_backstory_b|{s20} topraklarındaki kale beyi surlara yeni bir kule eklenmesini istedi. Sorun şu ki ben daha destekleri tamamlayamadan işin ortasında para bitmişti. Kulenin çökeceğini ona söylemiştim, öyle de oldu. Asıl kötü olan ise kule çöktüğü sırada kale beyinin de üzerinde duruyor olmasıydı. Yeni kale beyi öncekinin borçlarını ödemeyi düşünmedi bile, üstelik eğer ısrar edersem cinayetle suçlanabileceğimi ima etti.
str_npc16_backstory_b|Malayurg kalesinde mutfakta çalışan annemin yanında genel hizmetli olarak büyüdüm. Aralıklarda, dolap altlarında fare avlayarak kendimi eğlendirirdim. O kadar iyiydim ki kalenin kedilerini işsiz bıraktım ve nihayet Lordum beni fark ederek daha büyük işlere koşulabileceğime kanaat getirdi. Pek kurcalanmasa daha iyi olacak işlere. Tabi bu işim sırasında Lordun da kendi düşmanlarından aldığı birkaç ıvır zıvır elime geçti. Bunları satıp kendi özgürlüğümü satın aldım ve şimdi artık hür bir ajanım. Son işim {s19} {s20}da idi.
str_npc1_backstory_c|Ama beni destekleyecek bir arkam olursa bu seferlik görmezden gelebilirler, ben de sana çok minnettar olurum.
str_npc2_backstory_c|İşte şimdi buradayım, parasız ve eve dönüş yolu olmadan.
str_npc3_backstory_c|Kiminle istersem, ne zaman istersem öyle evlenmeliyim! Daha da önemlisi, babam ne düşünürse düşünsün ben kendime gayet güzel bakabilirim. Bir çingene grubuna yada bir paralı asker birliğine katılabilirim mesela.
str_npc4_backstory_c|Ancak daha fazla belaya bulaşmak istemiyorum, yani katılabileceğim böyle bir savaşçı birliğinden haberdarsanız lütfen bana söyleyin.
str_npc5_backstory_c|Aynı zamanda, kılıcımla hayatımı kazanabileceğim fırsatlar da çok güzel olur.
str_npc6_backstory_c|Benim gibi bir adam için hala umut olduğuna inanıyor musunuz? Doğru yolu bulabilecek miyim yoksa içimdeki şeytana yenilecek miyim?
str_npc7_backstory_c|Ama kendimi şanssız görmüyorum yabancı, Kalradya'daki herhangi bir kadından daha şanssız değilim.
str_npc8_backstory_c|Kendi ordumu kuracak kadar param olduğunda geri dönüp benim olanı geri alacağım!
str_npc9_backstory_c|Kılıcım, ona layık olan bir kaptanın emrinde olacak. Çünkü bu, toprak sahipliğinden sonra bir adamın sahip olabileceği en değerli uzmanlıktır. Öte yandan bu iş yüzünden yollarda her türlü serseri, hırsız, suçlu ve muhtelif ayak takımıyla vakit geçirmek zorunda kalıyorum.
str_npc10_backstory_c|Şimdi burada sürekli içip kafayı buluyorum. Haydi sabahlar olmasın!
str_npc11_backstory_c|Pek iyi bir hayat değil aslında; orduları doyurarak geçiyor günlerim. Askerler orada burada para harcadıkça para kazanabiliyorsunuz, sonra bir yenilgi geliyor, her şeye baştan başlamak zorunda kalıyorsunuz. Ben de o işi bırakmaya karar vermiştim, ama ordu benim bildiğim tek iş.
str_npc12_backstory_c|Bu kalenin lordu beni tutuklayıp tutuklamamak arasında kararsız. Ama ben en çabuk şekilde buradan ayrılmayı istiyorum.
str_npc13_backstory_c|...deyince hatırladım. Şehirde bir yerlerde çok kızgın bir koca var! Kaçmama yardımcı olmak istemezsiniz herhalde, değil mi?
str_npc14_backstory_c|Eğer kendi askerlerini şımartmaktan ziyade, zafer kazanması gerektiğinin bilincinde olan bir kumandan tanıyorsanız, beni ona yönlendirmeniz beni çok mutlu eder.
str_npc15_backstory_c|Önden bir avans almadan anlaşmayı kabul etmek benim hatam olabilir, ama nihayetinde bu tehlikeli yollarda kendime bir koruma kiralayabilecek param olmadan çok zor bir durumdayım. Yani iyi donanımlı bir birlik önümüzdeki birkaç gün için refakatçim olabilirse çok mutlu olurum.
str_npc16_backstory_c|Maalesef son işverenimin eşinin çok hoş bir madalyonu vardı. Benim pek karşı koyamayacağım türden bir madalyon. Henüz kaybolduğunu bilmiyor, ama yakında öğrenir. Söylesenize, işinize gücünüze yardım edecek birilerine ihtiyacınız var mı?
str_npc1_backstory_later|Ortalarda dolanıp duruyorum işte. Bilirsiniz, beladan uzak durmaya çalışarak. Yine de acilen bir işe ihtiyacım var.
str_npc2_backstory_later|Ayakkabıları sattım ve orada burada işportacılık yaparak birkaç dinar kazanıyorum. Ama bu zorlu bir yaşam.
