dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Bu bölgeye bir derebeyi atama işini, beylerimin fikrini alana kadar ertelemek istiyorum.
dlga_member_separate_confirm:do_member_trade|Hayır, yanımda olmanı tercih ederim.
dlga_member_separate_yes:close_window|Eh, ben gideyim o zaman. İhtiyacın olursa beni neredelerde bulacağını biliyorsun.
dlga_member_talk:member_question|Sana bir sorum olacak.
dlga_member_talk:close_window|Boşver.
dlga_member_question:member_question_2|Pekala. Ne sormak istiyordun?
dlga_member_question_2:member_morale|Bu grubun gidişatı hakkında ne düşünüyorsun.
dlga_member_question_2:member_background_recap|Bana hikayeni tekrardan anlat.
dlga_member_question_2:member_kingsupport_1|Bu diyarın {kralı/kraliçesi} olmaya talip olduğumu bildiğinizi farzediyorum.
dlga_member_question_2:member_intelgathering_1|Kendi lehimize kullanabileceğimiz bir bağlantın var mı?
dlga_member_question_2:member_fief_grant_1|Toprak sahibi olmayı ister misiniz?
dlga_member_morale:do_member_trade|{s21}
dlga_member_background_recap:member_background_recap_2|{s5}
dlga_member_background_recap_2:member_background_recap_3|{s5}
dlga_member_background_recap_3:do_member_trade|Ve kısa bir süre sonra da, sana katıldım.
dlga_do_member_view_char:member_talk|Başka bir şey?
dlga_member_kingsupport_1:do_member_trade|Hımm... Evet, duymuştum.
dlga_member_kingsupport_1:member_kingsupport_1a|{s21}
dlga_member_kingsupport_1a:member_kingsupport_2|O halde benim davama ortak olur muydun?
dlga_member_kingsupport_1a:do_member_trade|Çok iyi. Bunu aklımda tutacağım.
dlga_member_kingsupport_2:do_member_trade|Tabii ki, {s21}. Dahası, tahta geçmeniz hakkında size nasıl yardımcı olacağıma dair bir teklifim var. Fakat, {s22} daha yeni benzer bir göreve gönderildi. Belkide üzerimize çok fazla dikkat çekmemek için bir süre beklemeliyiz.
dlga_member_kingsupport_2:member_kingsupport_2a|{s21}
dlga_member_kingsupport_2a:member_kingsupport_3|{s21}
dlga_member_kingsupport_2a:do_member_trade|{s21}
dlga_member_kingsupport_3:member_kingsupport_3a|{s21}
dlga_member_kingsupport_3a:member_kingsupport_4|Çok iyi. Bunu sen yap.
dlga_member_kingsupport_3a:do_member_trade|Tekrar düşündüm de, bir süre benimle kal
dlga_member_kingsupport_4:close_window|O halde şimdilik hoşçakal, {s21}.
dlga_member_intelgathering_1:member_intelgathering_3|{s21}
dlga_member_intelgathering_3:member_intelgathering_3|Tabii ki, bunu mümkün olduğu kadar az insan bilmeli. Eğer bilgi almak veya beni kaleden geri çekmek istersen, haberci yollama. Gel ve kendin al –  bu kale kapısından sızman anlamına gelse de.
dlga_member_intelgathering_3:member_intelgathering_4|Harika fikir – Bunu sen yap.
dlga_member_intelgathering_3:do_member_trade|Aslında, şimdilik uzak dur.
dlga_member_intelgathering_4:close_window|Güzel. 5 güne rapor vermeye hazır olurum. O halde şimdilik hoşçakal, {s21}.
dlga_merchant_quest_4_start:close_window|Şimdi aslanlar! Üzerlerine çullanın!
dlga_start:relative_saved_1a|Teşekkürler! Teşekkürler! Beni bu eşkiyaların elinden kurtardın! Beni kurtarman için seni buraya {s9}'{.de} ki ağabeyim mi gönderdi?
dlga_relative_saved_1a:close_window|Evet. Ona seni bulacağıma dair söz vermiştim. Sana tavsiyem şimdi mümkün olduğunca çabuk ailenin yanına dön ve giderken çok dikkatli ol.
dlga_start:bandit_leader_1a|Aman! Canımı bağışla! Canımı bağışla! Bırak beni gideyim. Beni öldürmezsen sana yemin ederim uzaklara gidip bundan böyle alnımın teriyle çalışacağım!
dlga_bandit_leader_1a:bandit_leader_1b|Canını bağışlarım. Ama karşılığında bana kaçırdığınız genci nerede sakladığınızı söyleyeceksin.
dlga_start:looter_leader_1|Ne istiyorsun, be?
dlga_looter_leader_1:looter_leader_2|Seni arıyordum. Sen ve çetenin rehineleri nerde sakladığınızı söylersen gitmene izin veririm.
dlga_looter_leader_1:close_window|Hiç birşey. Sağlıcakla kal.
dlga_looter_leader_2:looter_leader_3|Hıh! O rehineler ancak fidyeleri ödendiğinde serbest kalır. Yanında hiç gümüş getirdin mi?
dlga_looter_leader_3:close_window|Hayır. Ama senin için çelik getirdim.
dlga_bandit_leader_1b:close_window|Elini ayağını öpeyim {yiğidim/hanımım} O gencin kılına dahi zarar vermedik. Onu {s9} yakınındaki bir barınakta tutuyorlar. Şimdi sana orayı nasıl bulacağını güzelce anlatırım.
dlga_start:rescue_prisoner_succeed_2|{playername}, onu kurtardın! {s11}{.m}{.i} kurtardığın için sana ne kadar minnettar olduğumu anlatamam. Lütfen, bu parayı minnettarlığımın göstergesi olarak kabul et.
dlga_rescue_prisoner_succeed_2:lord_pretalk|Size hizmet etmek benim için bir şereftir, {s65}.
dlga_start_up_quest_1_next:close_window|İyi misin? Eh, en azından hala hayattasın. Buradaki içinse aynısını söyleyemek zor. Geceleyin sokakları tehdit eden haydutlar sayende bir azaldı. Ama ne yazık ki bunun gibilerinden daha çok var. Sana bir teklifim olacak ama önce başka belaya bulaşmadan benim evinme gidelim.
dlga_start:merchant_quest_2a|İyi iş çıkarmışsın. Yanında haydutların hakkından gelmeye yetecek kadar adam var. Şimdi – şehre gidip gelen kervanların dediğine göre bir grup haydut şehrin biraz dışında yol kesip haraç alıyormuş. Bence bunlar aynı kardeşimi kaçıranlarla aynı çetedenler. Onları bulup liderlerini konuşturursan bize kardeşimi tuttukları yeri söyleyebilir.
dlga_start:merchant_quest_3a|Kardeşimi nerede tuttuklarını öğrendin demek. Çok iyi. Ben insan sarrafıyımdır, senin de becerikli, acar bir {adam/kadın} olduğunu ilk bakışta anlamıştım. Şimdi senden ricam, gidip salak kardeşimi o eşkiyaların elinden kurtar!
dlga_start:merchant_quest_3b|Evet... Kardeşim sağ salim eve döndü. Onunla ne yapacağıma karar veremedim. Belki Kalradya dışında bir yere tahsil görmeye gönderirim. Böylece kendisi gibi salak arkadaşlarıyla bir sokak kavgasına karışıp kim vurduya giderse benden günah gitmiş olur. Neyse, bu senin sorunun değil. İşte sana söz verdiğim paranın kalan kısmı. Bunu hakettin.
dlga_merchant_quest_3b:merchant_quest_4a|Para için sağol. Yardımcı olabildiğime sevindim.
dlga_merchant_quest_4a:merchant_quest_4b|Güzel! Şimdi... biraz daha para kazanmaya ne dersin?
dlga_merchant_quest_4b:merchant_quest_4b1|Olabilir. İş nedir?
dlga_merchant_quest_4b1:merchant_quest_4b2|Sana haydutların şehir içinden yardım aldıklarını söylemiştim, hatırlıyor musun? Sanırım onlara kimin yardım ettiğini biliyorum. Bu kişi nöbetçilerin kumandanından başkası değil. Bir kaç ay önce bu adam benim gibi ticaret erbabının kazandıkları paraya özenip, sağdan soldan aldığı borç parayla bir kervan düzdü. Ama tabii ticaretin inceliğine vakıf olmadığından güvenilmez adamlara iş görüp bütün parasını yanlış mallara yatırarak batırdı ve herşeyini kaybetti.
dlga_merchant_quest_4b2:merchant_quest_4b3|En sonunda, anlayacağın o ki, bizim kumandan borç batağından kurtulmak için haydutlarla işbirliği yolunu seçmiş. Tabii, her subaşının şehirdeki hırsız taifesinden birkaç kuruş alıp öte yana bakması adettendir. Ama bizimki eyalette ne kadar çapulcu varsa hepsini şehre toplayıp kendi hesabına çalıştırmaya başlamış. Şehir muhafızlarının içinde bir kaç tane dürüst kişi adamlarıma olan biteni anlatmasa, bu işin başında kimin olduğunu öğrenemeyecektik.
dlga_merchant_quest_4b3:merchant_quest_4b4|Şimdi, işte planım! Bunu şehrin efendisi {s4}'{.e} söyleyebilirim. Ama bu durumda bir soruşturma yapılacak, o zaman da benim sözüme karşı onun sözü olacak. İki tarafta şahitler getirecek, kanıt toplama falan derken bir savaş çıkacak soruşturma falan unutulacak ve bütün bunlardan sonra benim ödülüm karanlık bir sokakta hançerlenip gitmek olacak. Bu yüzden, başka bir fikrim var. Bu haydutlardan usanmış durumda olan kasaba ahalisi ve yanımda çalışan birkaç adamımla birlikte muhafız komutanını birkaç haydut avanesiyle tutup zincire vurarak {s4}'{.n} huzuruna çıkaracağız.
dlga_merchant_quest_4b4:merchant_quest_4b5|Şimdi tek ihtiyacım küçük ordumuza komuta edecek birisi. Bu iş için de senden iyisini düşünemiyorum. Evet, ne dersin?
dlga_merchant_quest_4b5:merchant_quest_4b6|Bana doğruyu söylediğini nereden bileyim?
dlga_merchant_quest_4b6:merchant_quest_4b7|Kasabadaki  tüm o haydutları gözlerinle gördün öyle değil mi? Bu kadar haydut yukarılarda birisi göz yummasa nasıl burada barınabilir? Ayrıca sözüme güvenmiyorsan bile sana ödediğim altına güvenebilirsin. Ve bu işte yanımda olursan güvenebileceğin 200 dinarın daha olacak. Evet, ne dersin?
dlga_merchant_quest_4b7:merchant_quest_4b8|Tamamdır. Adamlarına komuta edeceğim.
dlga_merchant_quest_4b7:merchant_quest_4_decline|Üzgünüm. Biraz düşünmem gerek.
dlga_merchant_quest_4b8:merchant_quest_4b9|Mükemmel. Böyle tehlikeli bir harekete girişmeyeli çok zaman oldu ve doğrusunu istersen bunu çok heyecan verici buluyorum. Adamlarım bir sözümüzle harekete geçmeye hazır. Gidelim mi?
dlga_merchant_quest_4b9:merchant_quest_4_accept|Evet. Adamlarına işareti ver.
dlga_merchant_quest_4b9:merchant_quest_4_decline|Şimdi değil. Tekrar savaşmadan önce dinlenmem gerekli.
dlga_merchant_quest_4_accept:close_window|Güzel. Şimdi – onlara o kadar hızlı ve sert saldıralım ki muhafız kumandanı ve yandaşları onlara neyin vurduğunu dahi anlamasın. Şansımız açık olsun!
dlga_merchant_quest_4_decline:close_window|Elbette. Adamlarımı şimdilik bekletirim. Ama eğer senden uzun süre olumlu yanıt alamazsam korkarım ki bu işi sensiz bitirmem gerekecek. Ancak bu işin bir parçası olursan sana minnettar olurum. Şimdi, hazırlanmak ve düşünmek için ne kadar zaman gerekiyorsa kullan.
dlga_merchant_quest_2a:close_window|Pekala. Şimdi haydutların peşine düşeceğim.
dlga_merchant_quest_2a:merchant_quest_2a_whynotcome|Neden sen de bizimle gelmiyorsun?
dlga_merchant_quest_2a_whynotcome:merchant_quest_2a|Çünkü sana bu iş için para veriyorum. Bu kısa cevap. Uzun cevap ise, çünkü şehirde izlemem gereken ipuçları var ve eğer merak ettiğin buysa benim de en az senin kadar postu deldirme tehlikem var. Ama bunu sormana sevindim. Şimdi, cevabın nedir?
dlga_merchant_quest_2a:close_window.1|Bu konu ile şu anda ilgilenemem.
dlga_merchant_quest_3a:close_window|Pekala. Ben şimdi haydutların inlerini basıp kardeşini bulmaya gidiyorum.
dlga_merchant_quest_3a:close_window.1|Bu konu ile şu anda ilgilenemem.
dlga_start:merchant_quest_persuasion|İstediğini yapabilirsin, dostum, ancak hayal kırıklığına uğradım. Bu konuyu tekrar düşünürsen iyi edersin. Ben zengin biriyim, ve sana olan minnettarlığımı cömertliğim ile gösterebilirim.
dlga_merchant_quest_persuasion:merchant_quest_1_prologue_3|Sanırım ikna oldum. Size yardım edeceğim.
dlga_merchant_quest_persuasion:merchant_quest_2|Sanırım ikna oldum. Size yardım edeceğim.
dlga_merchant_quest_persuasion:merchant_quest_3|Sanırım ikna oldum. Size yardım edeceğim.
dlga_merchant_quest_persuasion:merchant_quest_4b8|Sanırım ikna oldum. Size yardım edeceğim.
dlga_merchant_quest_persuasion:close_window|Dediğim gibi. Yapacak daha önemli işlerim var.
dlga_merchant_quest_2:merchant_quest_2a|Şimdi – git ve o haydut takımının hakkından gel.
dlga_merchant_quest_3:merchant_quest_3a|Şimdi – Git ve o haydut inini bas, kardeşimi bana geri getir, ve ailemi tehdit edenlere ne olacağını göster onlara.
dlga_start:close_screen|Oh – şükürler olsun... şükürler olsun... Güvende miyim?
dlga_start:merchant_closing_statement_2|Ah... {playername}. İşler umduğum gibi gitmedi. {s5} şehirde asayişi bozmamı göz ardı etmeyi kendine yediremedi. Muhafız komutanından onu kurtardığım için bana müteşekkir tabi. Ne de olsa barışta haydutlarla işbirliği yapan bir nöbetçi, savaşta düşmanları da kasabaya sokabilir. Ama kendisinin şehirde güvenliği sağlayamayıp bunu benim becermiş olmam onun otoritesine bir darbe olacak, oda bunu kabul edemez.
dlga_merchant_closing_statement_2:merchant_closing_statement_3|Bu hiç de adil değil...
dlga_merchant_closing_statement_3:merchant_closing_statement_4|Adalet mi? Burası Kalradya {evladım/kızım}! Hükümdarlar canları ne isterse onu yaparlar ve geri kalan bizler de yapmamız gerekenleri. Beni bir ağaçta sallandırmadı ve mallarımı satıp şehirden ayrılmam için zaman verdi -hatta tüccarlara mallarıma iyi fiyat vermelerini emretti. Bu bir hükümdar için oldukça cömert sayılır. Ama o güçsüz bir hükümdar ve güçsüz hükümdarlar önce otoritelerini gözetmelidir, adaleti ise sonra. Onun yerinde olsam ben de aynısını yapardım..
dlga_merchant_closing_statement_4:close_window|Neyse, yerinde olsam bu işteki rolümü {s5}'{.nin} önünde açığa vurmazdım. -- ama seni fark etti ve şimdilik senin asmaya gerek görmedi -ki bence bu her zaman kutlanacak bir şeydir. Aslında ileride sana verebileceği bir görev de olabilir. Ya da kılıcını onun rakiplerinden birine kiralayabilirsin. Neyse umarım bu maceradan bu dertli ülkede hayatta kalmak hakkında bir iki ders çıkartmışsındır, ve herhalda kazandığın işine yarayacaktır. İyi şanslar.
dlga_merchant_quests_last_word:close_window|Şehri terketmek üzere hazırlanıyorum. Seninle tanışmak bir şerefti. İyi şanslar.
dlga_member_intel_liaison:member_intel_liaison_results|Neler buldun?
dlga_start:member_intel_liaison|Selamlar, yabancı.
dlga_member_intel_liaison:close_window|Seni geri çekmenin zamanı geldi. Şehirden ayrı ayrı çıkalım, ama daha sonra bana katıl.
dlga_member_intel_liaison:close_window.1|Çok iyi gidiyorsun. Bir süre daha burada kal.
dlga_member_intel_liaison_results:member_intel_liaison|{s11} Raporumun geri kalanını size yazılı olarak teslim ediyorum.
dlga_member_fief_grant_1:member_fief_grant_2|Aklında hangi toprak vardı?
dlga_member_fief_grant_2:member_fief_grant_3|{s11}
dlga_member_fief_grant_2:do_member_trade|Boşver -- sana teklif edebileceğim bir toprak yok.
dlga_member_fief_grant_3:close_window|{s5}
dlga_start:close_window.5|Hazır olduğunda gidelim.
dlga_start:close_window.6|Lütfen {bayım/hanımefendi}, vaktimi daha fazla ziyan etmeyiniz bugün. Belki de yolculuklarımızda tekrar karşılaşırız.
dlga_start:companion_recruit_intro_response|{s5}
dlga_companion_recruit_intro_response:companion_recruit_backstory_a|{s6}
dlga_companion_recruit_intro_response:close_window|{s7}
dlga_companion_recruit_backstory_a:companion_recruit_backstory_b|{s5}
dlga_companion_recruit_backstory_b:companion_recruit_backstory_c|{s5}
dlga_companion_recruit_backstory_c:companion_recruit_backstory_response|{s5}
dlga_companion_recruit_backstory_response:companion_recruit_signup|{s6}
dlga_companion_recruit_backstory_response:close_window|{s7}
dlga_companion_recruit_signup:companion_recruit_signup_b|{s5}
dlga_companion_recruit_signup_b:companion_recruit_signup_response|{s5}
dlga_companion_recruit_signup_response:close_window|Ne yazık ki, grubuma daha fazla adam alamıyorum.
dlga_companion_recruit_signup_response:companion_recruit_payment|{s6}
dlga_companion_recruit_signup_response:close_window.1|{s7}
dlga_companion_recruit_payment:companion_recruit_signup_confirm|.
dlga_companion_recruit_payment:companion_recruit_payment_response|{s5}
dlga_companion_recruit_payment_response:companion_recruit_signup_confirm|{s6}
dlga_companion_recruit_payment_response:close_window|Üzgünüm, bunu şuan karşılayamam.
dlga_start:companion_recruit_meet_again|Tekrar buluştuk.
dlga_companion_recruit_meet_again:companion_recruit_backstory_delayed|Ee... Son görüşmemizden beri nasılsın?
dlga_companion_recruit_meet_again:close_window|İyi günler.
dlga_start:companion_recruit_secondchance|Evet?
dlga_companion_recruit_secondchance:companion_recruit_backstory_b|Daha önce kaba davrandıysam bağışlayın. Hikayeniz tekrar anlatabilir misiniz?
dlga_companion_recruit_secondchance:close_window|Boşver.
dlga_companion_recruit_backstory_delayed:companion_recruit_backstory_delayed_response|{s5}
dlga_companion_recruit_backstory_delayed_response:companion_recruit_signup_b|Size grubumda bir yer açabilirim.
dlga_companion_recruit_backstory_delayed_response:close_window|Bir şey duyarsam haber veririm.
dlga_companion_recruit_signup_confirm:close_window|Güzel! Bana hazırlanmam için biraz zaman verin, ardından yola çıkmaya hazır olurum.
dlga_start:companion_rehire|Size tekrar katılma önerim hala geçerli, tabii eğer beni grubunuzda isterseniz.
dlga_start:companion_rehire.1|Hayatta olduğunu görmek güzel, {s5}! {s6}, ve o zamandan beri yakalandın mı, öldürüldün mü yoksa kaçtın mı bilemedim. O zamandan beri arıyordum. Eşyalarımı toplayıp grubuna tekrar katılayım mı?
dlga_start:companion_prison_break_chains|Seni buradan çıkartmaya geldim.
dlga_companion_prison_break_chains:close_window|Şükürler olsun ki geldin! Anahtarı nöbetçiden bir yolunu bulup alman lazım.
dlga_start:companion_rehire.2|{s5}
dlga_start:companion_was_dismissed|Seni görmek güzel, {s21}! Doğrusunu söylemek gerekirse, seninle tekrar karşılaşmayı umuyordum.
dlga_companion_was_dismissed:companion_rehire|{s5}. Grubuna tekrar katılmamı istiyor musun?
dlga_companion_rehire:companion_recruit_signup_confirm|Tekrar hoşgeldin, dostum!
dlga_companion_rehire:companion_rehire_refused|Üzgünüm, şuan herhangi birini alamam.
dlga_companion_rehire_refused:close_window|Peki. Fakat fikrini değiştirirsen haber ver, tamam mı?
