str_no_string|¡NO STRING!
str_npc36_intro|Por fin estáis aquí.
str_npc37_intro|Por fin estáis aquí.
str_npc38_intro|Por fin estáis aquí.
str_npc39_intro|Por fin estáis aquí.
str_npc40_intro|Por fin estáis aquí.
str_npc41_intro|Por fin estáis aquí.
str_npc42_intro|Por fin estáis aquí.
str_npc43_intro|Por fin estáis aquí.
str_npc44_intro|Por fin estáis aquí.
str_npc45_intro|Por fin estáis aquí.
str_npc46_intro|Por fin estáis aquí.
str_npc47_intro|Por fin estáis aquí.
str_npc48_intro|Por fin estáis aquí.
str_npc49_intro|Por fin estáis aquí.
str_npc50_intro|Por fin estáis aquí.
str_npc51_intro|Por fin estáis aquí.
str_npc52_intro|Por fin estáis aquí.
str_npc53_intro|Por fin estáis aquí.
str_npc54_intro|Por fin estáis aquí.
str_npc55_intro|Por fin estáis aquí.
str_npc56_intro|Por fin estáis aquí.
str_npc57_intro|Por fin estáis aquí.
str_npc58_intro|Por fin estáis aquí.
str_npc59_intro|Por fin estáis aquí.
str_npc60_intro|Por fin estáis aquí.
str_npc61_intro|Por fin estáis aquí.
str_npc62_intro|Por fin estáis aquí.
str_npc63_intro|Por fin estáis aquí.
str_npc64_intro|Por fin estáis aquí.
str_npc65_intro|Por fin estáis aquí.
str_npc66_intro|Por fin estáis aquí.
str_npc67_intro|Por fin estáis aquí.
str_npc68_intro|Por fin estáis aquí.
str_npc69_intro|Por fin estáis aquí.
str_npc70_intro|Por fin estáis aquí.
str_npc71_intro|Por fin estáis aquí.
str_npc72_intro|Por fin estáis aquí.
str_npc73_intro|Por fin estáis aquí.
str_npc74_intro|Por fin estáis aquí.
str_npc75_intro|Por fin estáis aquí.
str_npc76_intro|Por fin estáis aquí.
str_npc77_intro|Por fin estáis aquí.
str_npc78_intro|Por fin estáis aquí.
str_npc79_intro|Por fin estáis aquí.
str_npc80_intro|Por fin estáis aquí.
str_npc81_intro|Por fin estáis aquí.
str_npc82_intro|Por fin estáis aquí.
str_npc83_intro|Por fin estáis aquí.
str_npc84_intro|Here you are at last.
str_npc85_intro|Here you are at last.
str_npc86_intro|Here you are at last.
str_npc87_intro|Here you are at last.
str_npc88_intro|Here you are at last.
str_npc1_intro_response_1|Sólo un idiota dejaría pasar la oportunidad de que os unáis a mi grupo.
str_npc2_intro_response_1|Sí que lo soy. Lidero una compañía de valientes soldados.
str_npc3_intro_response_1|Es cierto que la guerra está en mi naturaleza. ¿Sabéis algo de mi oficio, por casualidad?
str_npc4_intro_response_1|Nunca había oído a un orco llamarme {reg33?madam:sir}.
str_npc5_intro_response_1|Un asesino eficiente nunca viene mal.
str_npc6_intro_response_1|El camino importa poco. Vos parece que habéis recorrido muchos kilómetros en vuestra vida.
str_npc7_intro_response_1|No gracias, no compro pociones mágicas a desconocidos.
str_npc8_intro_response_1|Gracias... ¡eh, espera! ¡Dónde está mi bolsa de monedas?
str_npc9_intro_response_1|Gracias, me sentaré. ¿Vos no sois un caballero?
str_npc10_intro_response_1|Necesito mirar si quiero contratar a los mejores guerreros para mi compañía.
str_npc11_intro_response_1|¿Quién sois y qué hacéis en esta ciudad?
str_npc12_intro_response_1|¿Perdón?
str_npc13_intro_response_1|Parecéis un hombre afligido. ¿Cuál es vuestra historia?
str_npc14_intro_response_1|Puede que sí. ¿Cuáles son vuestras habilidades?
str_npc15_intro_response_1|Sí que lo soy. ¿Qué asuntos queréis tratar?
str_npc16_intro_response_1|Sólo charlar. ¿Cuál es vuestra historia?
str_npc17_intro_response_1|¿Sois bastante cascarrabias, no?
str_npc18_intro_response_1|Eso depende. ¿Qué consideráis importante?
str_npc19_intro_response_1|¿En qué puedo ayudaros?
str_npc20_intro_response_1|Buenos días, ¿qué os trae por aquí?
str_npc21_intro_response_1|Ehm... creo que no sé a qué os referís.
str_npc22_intro_response_1|Sí que lo son. Y vos parecéis un guerrero peligroso.
str_npc23_intro_response_1|Tengo algo de tiempo libre, así que... ¿por qué no?
str_npc24_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc25_intro_response_1|Son mis fieles guerreros. ¿Qué pasa con ellos?
str_npc26_intro_response_1|¿Cómo va a encontrar trabajo un mercenario con esa actitud?
str_npc27_intro_response_1|Estoy buscando brazos fuertes para mi ejército, no problemas.
str_npc28_intro_response_1|Curioso. Tenéis aspecto de rey funerario, pero no acento de Nehekara.
str_npc29_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc30_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc31_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc32_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc33_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc34_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc35_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc36_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc37_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc38_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc39_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc40_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc41_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc42_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc43_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc44_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc45_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc46_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc47_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc48_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc49_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc50_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc51_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc52_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc53_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc54_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc55_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc56_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc57_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc58_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc59_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc60_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc61_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc62_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc63_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc64_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc65_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc66_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc67_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc68_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc69_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc70_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc71_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc72_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc73_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc74_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc75_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc76_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc77_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc78_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc79_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc80_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc81_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc82_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc83_intro_response_1|Lo siento. ¿Nos conocemos?
str_npc84_intro_response_1|I am sorry, have we met before?
str_npc85_intro_response_1|I am sorry, have we met before?
str_npc86_intro_response_1|I am sorry, have we met before?
str_npc87_intro_response_1|I am sorry, have we met before?
str_npc88_intro_response_1|I am sorry, have we met before?
str_npc1_intro_response_2|Mis disculpas maese matador, me voy ya.
str_npc2_intro_response_2|Sí, pero eso no es de vuestra incumbencia.
str_npc3_intro_response_2|Entonces no digáis nada. Adiós.
str_npc4_intro_response_2|En realidad no.
str_npc5_intro_response_2|Sólo alguien en quien pueda confiar. Adiós.
str_npc6_intro_response_2|Eso no es de vuestra incumbencia.
str_npc7_intro_response_2|I am not one to be taken in by fanciful tales.
str_npc8_intro_response_2|Thanks I guess.
str_npc9_intro_response_2|I will not drink with anyone who slights the honourable.
str_npc10_intro_response_2|I am not staring, just passing by.
str_npc11_intro_response_2|Nothing, just passing through.
str_npc12_intro_response_2|You insult my ears with that high pitch wailing of yours.
str_npc13_intro_response_2|No, I need no help from you.
str_npc14_intro_response_2|Not at this time, good day.
str_npc15_intro_response_2|Mind your own business, sir.
str_npc16_intro_response_2|No I don't, move along.
str_npc17_intro_response_2|Actually it is you who is bothering me.
str_npc18_intro_response_2|Nothing important no, enjoy your Black Jack.
str_npc19_intro_response_2|I don't have time I am afraid.
str_npc20_intro_response_2|Good day indeed.
str_npc21_intro_response_2|Madness really is the strangest of afflictions.
str_npc22_intro_response_2|Yes they are, so you had better mind your own business.
str_npc23_intro_response_2|No way grandpa, you stink!
str_npc24_intro_response_2|Maybe, but I wish we hadn't.
str_npc25_intro_response_2|Mind your own business.
str_npc26_intro_response_2|I have no business with you ogre.
str_npc27_intro_response_2|No trouble at all, I will be on my way.
str_npc28_intro_response_2|I have no business with the undead.
str_npc29_intro_response_2|No estoy interesado.
str_npc30_intro_response_2|No estoy interesado.
str_npc31_intro_response_2|No estoy interesado.
str_npc32_intro_response_2|No estoy interesado.
str_npc33_intro_response_2|No estoy interesado.
str_npc34_intro_response_2|No estoy interesado.
str_npc35_intro_response_2|No estoy interesado.
str_npc36_intro_response_2|No estoy interesado.
str_npc37_intro_response_2|No estoy interesado.
str_npc38_intro_response_2|No estoy interesado.
str_npc39_intro_response_2|No estoy interesado.
str_npc40_intro_response_2|No estoy interesado.
str_npc41_intro_response_2|No estoy interesado.
str_npc42_intro_response_2|No estoy interesado.
str_npc43_intro_response_2|No estoy interesado.
str_npc44_intro_response_2|No estoy interesado.
str_npc45_intro_response_2|No estoy interesado.
str_npc46_intro_response_2|No estoy interesado.
str_npc47_intro_response_2|No estoy interesado.
str_npc48_intro_response_2|No estoy interesado.
str_npc49_intro_response_2|No estoy interesado.
str_npc50_intro_response_2|No estoy interesado.
str_npc51_intro_response_2|No estoy interesado.
str_npc52_intro_response_2|No estoy interesado.
str_npc53_intro_response_2|No estoy interesado.
str_npc54_intro_response_2|No estoy interesado.
str_npc55_intro_response_2|No estoy interesado.
str_npc56_intro_response_2|No estoy interesado.
str_npc57_intro_response_2|No estoy interesado.
str_npc58_intro_response_2|No estoy interesado.
str_npc59_intro_response_2|No estoy interesado.
str_npc60_intro_response_2|No estoy interesado.
str_npc61_intro_response_2|No estoy interesado.
str_npc62_intro_response_2|No estoy interesado.
str_npc63_intro_response_2|No estoy interesado.
str_npc64_intro_response_2|No estoy interesado.
str_npc65_intro_response_2|No estoy interesado.
str_npc66_intro_response_2|No estoy interesado.
str_npc67_intro_response_2|No estoy interesado.
str_npc68_intro_response_2|No estoy interesado.
str_npc69_intro_response_2|No estoy interesado.
str_npc70_intro_response_2|No estoy interesado.
str_npc71_intro_response_2|No estoy interesado.
str_npc72_intro_response_2|No estoy interesado.
str_npc73_intro_response_2|No estoy interesado.
str_npc74_intro_response_2|No estoy interesado.
str_npc75_intro_response_2|No estoy interesado.
str_npc76_intro_response_2|No estoy interesado.
str_npc77_intro_response_2|No estoy interesado.
str_npc78_intro_response_2|No estoy interesado.
str_npc79_intro_response_2|No estoy interesado.
str_npc80_intro_response_2|No estoy interesado.
str_npc81_intro_response_2|No estoy interesado.
str_npc82_intro_response_2|No estoy interesado.
str_npc83_intro_response_2|No estoy interesado.
str_npc84_intro_response_2|Not interested.
str_npc85_intro_response_2|Not interested.
str_npc86_intro_response_2|Not interested.
str_npc87_intro_response_2|Not interested.
str_npc88_intro_response_2|Not interested.
str_npc1_backstory_a|You don't look like much of an adventurer.... mmmm.
str_npc2_backstory_a|Your party interests me.
str_npc3_backstory_a|I enquired when I saw your party enter the town. They say you are a bold warrior and that you are on the lookout for other able warriors to join you.
str_npc4_backstory_a|Yes it seems my lack of orcness never escapes me.
str_npc5_backstory_a|Then Ripnitch the assassin is where you should invest your money.
str_npc6_backstory_a|I have trodden every part of these great lands, I am Mathias Thulmann, Master Witch Hunter.
str_npc7_backstory_a|I am not offering a potion, I am offering my services on the field of battle and also recommending my men.
str_npc8_backstory_a|Ah yes, you got me. I am not usually this rusty but I am feeling a bit peaky after eating all of Skeezles goats cheese, it has put me off my game.
str_npc9_backstory_a|I am a knight but I do not follow any soft, repressive codes such as chivalry and honour. All they do is trick a man into being obedient and to restrain all the natural and rightful urges a real man feels.
str_npc10_backstory_a|Grand campaigns usually mean lots of battles and lots of bloodshed which is exactly what I live for.
str_npc11_backstory_a|I don't see why but if you must know my name is Eketi and I am a Commander of the Dark Elf naval fleets.
str_npc12_backstory_a|Skrizzle, skrizzle................. wooooompa.............. Bug is me.................. woooooop.
str_npc13_backstory_a|My name is Sir Aristide, I am a knight from the court of King Leoncouer.
str_npc14_backstory_a|My name is Maephilin, I am a skilled horse archer and I used to patrol the lands of Ellyrion in the Old World looking for enemies so I am good at spotting enemies too.
str_npc15_backstory_a|I am looking for someone to travel with, to explore with and to share stories with and you look like just the kind of companion I am looking for.
